1 16 1.08 0 0 2 1.10
2 39 1.04 0 0 2 1.10
3 19 1.12 0 0 2 1.12
4 5 1.17 0 0 2 1.17
5 4 1.17 0 0 2 1.17
6 2 1.03 0 0 2 1.00
7 3 1.10 0 0 2 1.12
8 26 1.09 0 0 2 1.09
9 16 1.37 0 0 2 1.10
10 25 1.15 0 0 2 1.09
11 16 1.25 0 0 2 1.10
12 17 1.21 0 0 2 1.17
13 31 1.12 0 0 2 1.12
14 19 1.04 0 0 2 1.12
15 27 1.25 0 0 2 1.12
16 39 1.10 0 0 2 1.10
17 5 1.01 0 0 2 1.17
18 33 1.26 0 0 2 1.10
19 3 1.12 0 0 2 1.12
20 26 1.04 0 0 2 1.09
21 15 1.26 0 0 2 1.12
22 29 1.27 0 0 2 1.17
23 13 1.20 0 0 2 1.10
24 8 1.01 0 0 2 1.09
25 30 1.33 0 0 2 1.09
26 8 1.09 0 0 2 1.09
27 14 1.13 0 0 2 1.12
28 13 1.32 0 0 2 1.10
29 4 1.13 0 0 2 1.17
30 26 1.07 0 0 2 1.09
31 3 1.03 0 0 2 1.12
32 38 1.25 0 0 2 1.09
33 2 1.00 0 0 2 1.10
34 37 1.27 0 0 2 1.18
35 13 1.10 0 0 2 1.10
36 37 1.18 0 0 2 1.18
37 36 1.18 0 0 2 1.18
38 30 1.08 0 0 2 1.09
39 16 1.10 0 0 2 1.10
40 33 1.04 0 0 2 1.10
