1.0 0 1 0
1.0 1 1 0
1.0 1 2 0
1.0 1 3 0
1.0 1 4 0
1.0 2 4 0
1.0 2 5 0
1.0 2 6 0
1.0 3 6 0
1.0 4 6 0
1.0 5 6 0
1.0 5 7 0
1.0 5 8 0
1.0 5 9 0
1.0 5 10 0
1.0 5 11 0
1.0 5 12 0
1.0 5 13 0
1.0 5 14 0
1.0 5 15 0
1.0 5 16 0
1.0 5 17 0
1.0 5 18 0
1.0 5 19 0
1.0 5 20 0
1.0 5 21 0
1.0 5 22 0
1.0 5 23 0
1.0 5 24 0
1.0 5 25 0
1.0 5 26 0
1.0 5 27 0
1.0 5 28 0
1.0 5 29 0
1.0 5 30 0
1.0 5 31 0
1.0 5 32 0
1.0 5 33 0
1.0 5 34 0
1.0 6 34 0
1.0 6 35 0
1.0 6 36 0
1.0 6 37 0
1.0 6 38 0
1.0 6 39 0
1.0 6 40 0
1.0 6 41 0
1.0 6 42 0
1.0 6 43 0
